time,setpoint,measured_position,error,raw_voltage,voltage_command
0.135000,90.000000,49.834106,40.516068,8.583099,8.583099
0.136000,90.000000,50.181747,40.165894,8.512527,8.512527
0.137000,90.000000,50.526855,39.818253,8.442474,8.442474
0.138000,90.000000,50.869446,39.473145,8.372925,8.372925
0.139000,90.000000,51.209503,39.130554,8.303879,8.303879
0.140000,90.000000,51.547043,38.790497,8.235352,8.235352
0.141000,90.000000,51.882065,38.452957,8.167313,8.167313
0.142000,90.000000,52.214569,38.117935,8.099777,8.099777
0.143000,90.000000,52.544571,37.785431,8.032761,8.032761
0.144000,90.000000,52.872070,37.455429,7.966248,7.966248
0.145000,90.000000,53.197083,37.127930,7.900223,7.900223
0.146000,90.000000,53.519608,36.802917,7.834702,7.834702
0.147000,90.000000,53.839645,36.480392,7.769684,7.769684
0.148000,90.000000,54.157211,36.160355,7.705170,7.705170
0.149000,90.000000,54.472321,35.842789,7.641144,7.641144
0.150000,90.000000,54.784973,35.527679,7.577606,7.577606
0.151000,90.000000,55.095184,35.215027,7.514587,7.514587
0.152000,90.000000,55.402969,34.904816,7.452057,7.452057
0.153000,90.000000,55.708344,34.597031,7.389999,7.389999
0.154000,90.000000,56.011322,34.291656,7.328430,7.328430
0.155000,90.000000,56.311920,33.988678,7.267334,7.267334
0.156000,90.000000,56.610138,33.688080,7.206741,7.206741
0.157000,90.000000,56.905975,33.389862,7.146622,7.146622
0.158000,90.000000,57.199448,33.094025,7.086975,7.086975
0.159000,90.000000,57.490570,32.800552,7.027802,7.027802
0.160000,90.000000,57.779358,32.509430,6.969101,6.969101
0.161000,90.000000,58.065811,32.220642,6.910873,6.910873
0.162000,90.000000,58.349976,31.934189,6.853104,6.853104
0.163000,90.000000,58.631866,31.650024,6.795807,6.795807
0.164000,90.000000,58.911499,31.368134,6.738968,6.738968
0.165000,90.000000,59.188873,31.088501,6.682587,6.682587
0.166000,90.000000,59.464005,30.811127,6.626663,6.626663
0.167000,90.000000,59.736893,30.535995,6.571182,6.571182
0.168000,90.000000,60.007568,30.263107,6.516159,6.516159
0.169000,90.000000,60.276047,29.992432,6.461578,6.461578
0.170000,90.000000,60.542328,29.723953,6.407440,6.407440
0.171000,90.000000,60.806442,29.457672,6.353745,6.353745
0.172000,90.000000,61.068405,29.193558,6.300476,6.300476
0.173000,90.000000,61.328232,28.931595,6.247635,6.247635
0.174000,90.000000,61.585922,28.671768,6.195221,6.195221
0.175000,90.000000,61.841507,28.414078,6.143250,6.143250
0.176000,90.000000,62.095001,28.158493,6.091705,6.091705
0.177000,90.000000,62.346405,27.904999,6.040573,6.040573
0.178000,90.000000,62.595749,27.653595,5.989868,5.989868
0.179000,90.000000,62.843033,27.404251,5.939575,5.939575
0.180000,90.000000,63.088272,27.156967,5.889709,5.889709
0.181000,90.000000,63.331497,26.911728,5.840240,5.840240
0.182000,90.000000,63.572708,26.668503,5.791183,5.791183
0.183000,90.000000,63.811935,26.427292,5.742538,5.742538
0.184000,90.000000,64.049179,26.188065,5.694275,5.694275
0.185000,90.000000,64.284454,25.950821,5.646423,5.646423
0.186000,90.000000,64.517776,25.715546,5.598969,5.598969
0.187000,90.000000,64.749176,25.482224,5.551910,5.551910
0.188000,90.000000,64.978653,25.250824,5.505234,5.505234
0.189000,90.000000,65.206223,25.021347,5.458939,5.458939
0.190000,90.000000,65.431900,24.793777,5.413040,5.413040
0.191000,90.000000,65.655701,24.568100,5.367508,5.367508
0.192000,90.000000,65.877625,24.344299,5.322372,5.322372
0.193000,90.000000,66.097702,24.122375,5.277603,5.277603
0.194000,90.000000,66.315933,23.902298,5.233215,5.233215
0.195000,90.000000,66.532349,23.684067,5.189194,5.189194
0.196000,90.000000,66.746948,23.467651,5.145538,5.145538
0.197000,90.000000,66.959747,23.253052,5.102249,5.102249
0.198000,90.000000,67.170776,23.040253,5.059311,5.059311
0.199000,90.000000,67.380051,22.829224,5.016739,5.016739
0.200000,90.000000,67.587585,22.619949,4.974518,4.974518
0.201000,90.000000,67.793396,22.412415,4.932648,4.932648
0.202000,90.000000,67.997482,22.206604,4.891113,4.891113
0.203000,90.000000,68.199860,22.002518,4.849930,4.849930
0.204000,90.000000,68.400543,21.800140,4.809097,4.809097
0.205000,90.000000,68.599564,21.599457,4.768600,4.768600
0.206000,90.000000,68.796921,21.400436,4.728439,4.728439
0.207000,90.000000,68.992615,21.203079,4.688614,4.688614
0.208000,90.000000,69.186676,21.007385,4.649124,4.649124
0.209000,90.000000,69.379120,20.813324,4.609955,4.609955
0.210000,90.000000,69.569946,20.620880,4.571121,4.571121
0.211000,90.000000,69.759171,20.430054,4.532623,4.532623
0.212000,90.000000,69.946808,20.240829,4.494431,4.494431
0.213000,90.000000,70.132889,20.053192,4.456558,4.456558
0.214000,90.000000,70.317413,19.867111,4.419006,4.419006
0.215000,90.000000,70.500381,19.682587,4.381775,4.381775
0.216000,90.000000,70.681824,19.499619,4.344849,4.344849
0.217000,90.000000,70.861740,19.318176,4.308243,4.308243
0.218000,90.000000,71.040146,19.138260,4.271927,4.271927
0.219000,90.000000,71.217056,18.959854,4.235916,4.235916
0.220000,90.000000,71.392471,18.782944,4.200211,4.200211
0.221000,90.000000,71.566422,18.607529,4.164795,4.164795
0.222000,90.000000,71.738922,18.433578,4.129684,4.129684
0.223000,90.000000,71.909973,18.261078,4.094864,4.094864
0.224000,90.000000,72.079590,18.090027,4.060333,4.060333
0.225000,90.000000,72.247787,17.920410,4.026093,4.026093
0.226000,90.000000,72.414566,17.752213,3.992142,3.992142
0.227000,90.000000,72.579941,17.585434,3.958466,3.958466
0.228000,90.000000,72.743927,17.420059,3.925079,3.925079
0.229000,90.000000,72.906525,17.256073,3.891968,3.891968
0.230000,90.000000,73.067749,17.093475,3.859131,3.859131
0.231000,90.000000,73.227615,16.932251,3.826584,3.826584
0.232000,90.000000,73.386154,16.772385,3.794312,3.794312
0.233000,90.000000,73.543350,16.613846,3.762299,3.762299
0.234000,90.000000,73.699234,16.456650,3.730560,3.730560
0.235000,90.000000,73.853790,16.300766,3.699097,3.699097
0.236000,90.000000,74.007050,16.146210,3.667892,3.667892
0.237000,90.000000,74.159012,15.992950,3.636948,3.636948
0.238000,90.000000,74.309692,15.840988,3.606262,3.606262
0.239000,90.000000,74.459106,15.690308,3.575836,3.575836
0.240000,90.000000,74.607269,15.540894,3.545670,3.545670
0.241000,90.000000,74.754196,15.392731,3.515747,3.515747
0.242000,90.000000,74.899887,15.245804,3.486084,3.486084
0.243000,90.000000,75.044357,15.100113,3.456665,3.456665
0.244000,90.000000,75.187607,14.955643,3.427505,3.427505
0.245000,90.000000,75.329651,14.812393,3.398575,3.398575
0.246000,90.000000,75.470505,14.670349,3.369888,3.369888
0.247000,90.000000,75.610168,14.529495,3.341446,3.341446
0.248000,90.000000,75.748657,14.389832,3.313232,3.313232
0.249000,90.000000,75.885971,14.251343,3.285278,3.285278
0.250000,90.000000,76.022125,14.114029,3.257553,3.257553
0.251000,90.000000,76.157135,13.977875,3.230057,3.230057
0.252000,90.000000,76.291000,13.842865,3.202789,3.202789
0.253000,90.000000,76.423737,13.709000,3.175751,3.175751
0.254000,90.000000,76.555344,13.576263,3.148941,3.148941
0.255000,90.000000,76.685837,13.444656,3.122360,3.122360
0.256000,90.000000,76.815247,13.314163,3.096008,3.096008
0.257000,90.000000,76.943558,13.184753,3.069870,3.069870
0.258000,90.000000,77.070770,13.056442,3.043961,3.043961
0.259000,90.000000,77.196915,12.929230,3.018265,3.018265
0.260000,90.000000,77.321991,12.803085,2.992783,2.992783
0.261000,90.000000,77.446014,12.678009,2.967514,2.967514
0.262000,90.000000,77.568985,12.553986,2.942459,2.942459
0.263000,90.000000,77.690933,12.431015,2.917618,2.917618
0.264000,90.000000,77.811844,12.309067,2.892975,2.892975
0.265000,90.000000,77.931747,12.188156,2.868546,2.868546
0.266000,90.000000,78.050644,12.068253,2.844330,2.844330
0.267000,90.000000,78.168533,11.949356,2.820312,2.820312
0.268000,90.000000,78.285416,11.831467,2.796494,2.796494
0.269000,90.000000,78.401321,11.714584,2.772888,2.772888
0.270000,90.000000,78.516235,11.598679,2.749466,2.749466
0.271000,90.000000,78.630188,11.483765,2.726242,2.726242
0.272000,90.000000,78.743164,11.369812,2.703217,2.703217
0.273000,90.000000,78.855209,11.256836,2.680374,2.680374
0.274000,90.000000,78.966293,11.144791,2.657730,2.657730
0.275000,90.000000,79.076462,11.033707,2.635269,2.635269
0.276000,90.000000,79.185684,10.923538,2.613007,2.613007
0.277000,90.000000,79.294006,10.814316,2.590942,2.590942
0.278000,90.000000,79.401398,10.705994,2.569046,2.569046
0.279000,90.000000,79.507904,10.598602,2.547333,2.547333
0.280000,90.000000,79.613495,10.492096,2.525803,2.525803
0.281000,90.000000,79.718201,10.386505,2.504471,2.504471
0.282000,90.000000,79.822021,10.281799,2.483307,2.483307
0.283000,90.000000,79.924957,10.177979,2.462326,2.462326
0.284000,90.000000,80.027023,10.075043,2.441528,2.441528
0.285000,90.000000,80.128235,9.972977,2.420883,2.420883
0.286000,90.000000,80.228592,9.871765,2.400436,2.400436
0.287000,90.000000,80.328094,9.771408,2.380142,2.380142
0.288000,90.000000,80.426758,9.671906,2.360016,2.360016
0.289000,90.000000,80.524597,9.573242,2.340073,2.340073
0.290000,90.000000,80.621597,9.475403,2.320297,2.320297
0.291000,90.000000,80.717789,9.378403,2.300690,2.300690
0.292000,90.000000,80.813171,9.282211,2.281235,2.281235
0.293000,90.000000,80.907745,9.186829,2.261948,2.261948
0.294000,90.000000,81.001511,9.092255,2.242828,2.242828
0.295000,90.000000,81.094498,8.998489,2.223862,2.223862
0.296000,90.000000,81.186676,8.905502,2.205063,2.205063
0.297000,90.000000,81.278076,8.813324,2.186417,2.186417
0.298000,90.000000,81.368698,8.721924,2.167923,2.167923
0.299000,90.000000,81.458572,8.631302,2.149597,2.149597
0.300000,90.000000,81.547684,8.541428,2.131424,2.131424
0.301000,90.000000,81.636032,8.452316,2.113403,2.113403
0.302000,90.000000,81.723633,8.363968,2.095535,2.095535
0.303000,90.000000,81.810501,8.276367,2.077820,2.077820
0.304000,90.000000,81.896652,8.189499,2.060257,2.060257
0.305000,90.000000,81.982071,8.103348,2.042831,2.042831
0.306000,90.000000,82.066757,8.017929,2.025543,2.025543
0.307000,90.000000,82.150726,7.933243,2.008423,2.008423
0.308000,90.000000,82.233978,7.849274,1.991425,1.991425
0.309000,90.000000,82.316544,7.766022,1.974579,1.974579
0.310000,90.000000,82.398407,7.683456,1.957870,1.957870
0.311000,90.000000,82.479599,7.601593,1.941315,1.941315
0.312000,90.000000,82.560104,7.520401,1.924896,1.924896
0.313000,90.000000,82.639908,7.439896,1.908600,1.908600
0.314000,90.000000,82.719040,7.360092,1.892456,1.892456
0.315000,90.000000,82.797485,7.280960,1.876434,1.876434
0.316000,90.000000,82.875275,7.202515,1.860550,1.860550
0.317000,90.000000,82.952408,7.124725,1.844803,1.844803
0.318000,90.000000,83.028885,7.047592,1.829193,1.829193
0.319000,90.000000,83.104721,6.971115,1.813705,1.813705
0.320000,90.000000,83.179916,6.895279,1.798355,1.798355
0.321000,90.000000,83.254471,6.820084,1.783127,1.783127
0.322000,90.000000,83.328400,6.745529,1.768021,1.768021
0.323000,90.000000,83.401718,6.671600,1.753052,1.753052
0.324000,90.000000,83.474411,6.598282,1.738205,1.738205
0.325000,90.000000,83.546494,6.525589,1.723480,1.723480
0.326000,90.000000,83.617981,6.453506,1.708893,1.708893
0.327000,90.000000,83.688858,6.382019,1.694412,1.694412
0.328000,90.000000,83.759140,6.311142,1.680054,1.680054
0.329000,90.000000,83.828827,6.240860,1.665833,1.665833
0.330000,90.000000,83.897934,6.171173,1.651718,1.651718
0.331000,90.000000,83.966446,6.102066,1.637726,1.637726
0.332000,90.000000,84.034378,6.033554,1.623840,1.623840
0.333000,90.000000,84.101730,5.965622,1.610092,1.610092
0.334000,90.000000,84.168503,5.898270,1.596451,1.596451
0.335000,90.000000,84.234695,5.831497,1.582916,1.582916
0.336000,90.000000,84.300339,5.765305,1.569504,1.569504
0.337000,90.000000,84.365433,5.699661,1.556198,1.556198
0.338000,90.000000,84.429962,5.634567,1.543015,1.543015
0.339000,90.000000,84.493958,5.570038,1.529953,1.529953
0.340000,90.000000,84.557419,5.506042,1.516998,1.516998
0.341000,90.000000,84.620346,5.442581,1.504135,1.504135
0.342000,90.000000,84.682724,5.379654,1.491394,1.491394
0.343000,90.000000,84.744568,5.317276,1.478745,1.478745
0.344000,90.000000,84.805893,5.255432,1.466202,1.466202
0.345000,90.000000,84.866699,5.194107,1.453781,1.453781
0.346000,90.000000,84.927002,5.133301,1.441467,1.441467
0.347000,90.000000,84.986801,5.072998,1.429245,1.429245
0.348000,90.000000,85.046082,5.013199,1.417130,1.417130
0.349000,90.000000,85.104858,4.953918,1.405106,1.405106
0.350000,90.000000,85.163132,4.895142,1.393204,1.393204
0.351000,90.000000,85.220917,4.836868,1.381393,1.381393
0.352000,90.000000,85.278214,4.779083,1.369675,1.369675
0.353000,90.000000,85.335022,4.721786,1.358047,1.358047
0.354000,90.000000,85.391342,4.664978,1.346527,1.346527
0.355000,90.000000,85.447189,4.608658,1.335098,1.335098
0.356000,90.000000,85.502563,4.552811,1.323776,1.323776
0.357000,90.000000,85.557465,4.497437,1.312546,1.312546
0.358000,90.000000,85.611893,4.442535,1.301407,1.301407
0.359000,90.000000,85.665863,4.388107,1.290359,1.290359
0.360000,90.000000,85.719391,4.334137,1.279419,1.279419
0.361000,90.000000,85.772461,4.280609,1.268570,1.268570
0.362000,90.000000,85.825073,4.227539,1.257812,1.257812
0.363000,90.000000,85.877243,4.174927,1.247147,1.247147
0.364000,90.000000,85.928970,4.122757,1.236572,1.236572
0.365000,90.000000,85.980255,4.071030,1.226074,1.226074
0.366000,90.000000,86.031113,4.019745,1.215668,1.215668
0.367000,90.000000,86.081528,3.968887,1.205338,1.205338
0.368000,90.000000,86.131516,3.918472,1.195099,1.195099
0.369000,90.000000,86.181091,3.868484,1.184952,1.184952
0.370000,90.000000,86.230240,3.818909,1.174881,1.174881
0.371000,90.000000,86.278976,3.769760,1.164902,1.164902
0.372000,90.000000,86.327301,3.721024,1.155014,1.155014
